word,frequency,vowel_count,rare_letter_count,has_duplicates,difficulty
spawn,2.4e-06,1,0,False,Hard
oxids,0.0,2,1,False,Hard
hakus,0.0,2,1,False,Hard
grads,8.51e-07,1,0,False,Hard
abacs,0.0,2,0,True,Hard
focus,0.0001,2,0,False,Medium
hides,4.9e-06,2,0,False,Hard
hayed,0.0,2,0,False,Hard
stony,2e-06,1,0,False,Hard
slims,1.62e-07,1,0,True,Hard
tonka,2.24e-07,2,1,False,Hard
ident,2.75e-07,2,0,False,Hard
tansu,1.41e-08,2,0,False,Hard
whirr,1.02e-07,1,0,True,Hard
glike,0.0,2,1,False,Hard
votes,4.37e-05,2,0,False,Medium
sigri,0.0,2,0,True,Hard
cades,6.31e-08,2,0,False,Hard
layed,2.88e-07,2,0,False,Hard
snail,4.68e-06,2,0,False,Hard
fykes,0.0,1,1,False,Hard
ousia,2.57e-08,4,0,False,Hard
nevus,8.71e-08,2,0,False,Hard
wings,2.75e-05,1,0,False,Medium
toile,7.24e-08,3,0,False,Hard
junta,2.19e-06,2,1,False,Hard
chair,4.9e-05,2,0,False,Medium
regia,1.95e-07,3,0,False,Hard
lavvy,0.0,1,0,True,Hard
fatty,6.31e-06,1,0,True,Hard
bippy,1.95e-08,1,0,True,Hard
hoody,1.95e-07,2,0,True,Hard
bunco,5.75e-08,2,0,False,Hard
zupan,2.04e-08,2,1,False,Hard
spend,9.33e-05,1,0,False,Medium
phubs,0.0,1,0,False,Hard
sluse,0.0,2,0,True,Hard
dwine,0.0,2,0,False,Hard
piety,1.23e-06,2,0,False,Hard
pyrus,6.46e-08,1,0,False,Hard
mogue,0.0,3,0,False,Hard
glows,8.51e-07,1,0,False,Hard
kutch,1.55e-07,1,1,False,Hard
ngana,0.0,2,0,True,Hard
piton,8.91e-08,2,0,False,Hard
spalt,0.0,1,0,False,Hard
qipao,2.88e-08,3,1,False,Hard
pakka,1e-07,2,2,True,Hard
redly,0.0,1,0,False,Hard
furzy,0.0,1,1,False,Hard
arhat,3.47e-08,2,0,True,Hard
fumer,0.0,2,0,False,Hard
addin,4.17e-08,2,0,True,Hard
cardy,9.55e-08,1,0,False,Hard
zooea,0.0,4,1,True,Hard
clegs,0.0,1,0,False,Hard
dhals,0.0,1,0,False,Hard
deshi,3.89e-08,2,0,False,Hard
meany,2.04e-07,2,0,False,Hard
lenos,0.0,2,0,False,Hard
cines,2.09e-08,2,0,False,Hard
sneap,0.0,2,0,False,Hard
busti,1.55e-08,2,0,False,Hard
belts,5.5e-06,1,0,False,Hard
weans,5.37e-08,2,0,False,Hard
globe,1.91e-05,2,0,False,Medium
decad,2.04e-08,2,0,True,Hard
tinks,2.51e-08,1,1,False,Hard
bally,5.37e-07,1,0,True,Hard
yokes,1.17e-07,2,1,False,Hard
onsen,2.29e-07,2,0,True,Hard
lover,1.82e-05,2,0,False,Medium
iddat,0.0,2,0,True,Hard
terry,1.74e-05,1,0,True,Medium
pogey,0.0,2,0,False,Hard
planh,0.0,1,0,False,Hard
lotte,9.77e-07,2,0,True,Hard
clies,0.0,2,0,False,Hard
femes,0.0,2,0,True,Hard
deedy,2.24e-08,2,0,True,Hard
acnes,4.57e-08,2,0,False,Hard
rubli,0.0,2,0,False,Hard
lolos,1.32e-08,2,0,True,Hard
rapes,2.29e-06,2,0,False,Hard
